inicio,fim,alpha,beta,delta,theta,gamma
0,125,96.26469454008823,36.765675342948015,14.642545592850933,100.0,0.0
125,250,78.60552217702714,5.407295576501097,0.762592427501301,100.0,0.0
250,375,28.363864692222112,2.3666228098870787,0.8641982115915594,100.0,0.0
375,500,31.758154298839308,2.388404134381836,1.2078352318334178,100.0,0.0
500,625,21.96084461438216,2.1693920396797597,1.196238701157603,100.0,0.0
625,750,23.307494195674703,2.4021274421159498,1.9593379008667027,100.0,0.0
750,875,15.716205596180151,2.252837764872101,2.143509906694363,100.00000000000001,0.0
875,1000,24.35073895617038,3.5940288119619845,4.914993415822593,100.0,0.0
1000,1125,38.39380681929556,9.281604691865425,2.1334262708225973,100.00000000000001,0.0
1125,1250,6.103777631355958,3.8006814970167984,67.7487389544339,100.0,0.0
1250,1375,21.273543553138115,1.296449783897766,2.1920533498058052,100.0,0.0
1375,1500,14.988128221427164,1.0176740460761353,2.2128098678278154,99.99999999999999,0.0
1500,1625,20.47023596469625,1.6203816504238737,1.8166177934871892,100.00000000000001,0.0
1625,1750,19.670463060078852,1.6227546653149383,1.8213035602483627,99.99999999999999,0.0
1750,1875,23.19768378684715,1.603080154511083,1.7247782775979297,100.0,0.0
1875,2000,18.630448387621332,0.8543148875111658,2.5848203925029956,100.0,0.0
2000,2125,18.903875889590772,0.6674201940285135,2.306107236453196,100.0,0.0
2125,2250,15.903018403872192,0.9573997366069225,3.6998750469291344,100.0,0.0
2250,2375,14.155326415279179,1.2616393829223658,1.823112387354399,100.0,0.0
2375,2500,11.55866267403576,1.1161692415868105,2.24130609059035,99.99999999999999,0.0
2500,2625,12.061662682023481,1.175549832459153,1.8510199457655223,99.99999999999999,0.0
2625,2750,2.0597728438014764,0.3170583803212864,4.82153552560679,100.0,0.0
2750,2875,35.16319246295763,6.3007041321475015,1.0401002569495212,100.0,0.0
2875,3000,36.49898210385593,12.45366007835589,1.08165245407044,100.00000000000001,0.0
3000,3125,77.02771759396724,69.20873230375511,0.0,100.0,7.45141181892619
3125,3250,71.28205889746026,100.0,0.0,89.25918404194574,23.91156640830602
3250,3375,50.87409381008263,100.0,0.0,72.36493405561522,19.475716419738117
3375,3500,43.185657784081606,100.00000000000001,0.0,69.76362838632082,15.92738534352006
3500,3625,30.87453019955106,99.99999999999999,0.0,48.85634259679291,12.557097922883205
3625,3750,38.87425291142018,67.93604888049325,0.0,99.99999999999999,9.536254564233083
3750,3875,31.90159706863465,55.29535853893297,0.0,99.99999999999999,8.056205418877482
3875,4000,33.59908998381885,52.01626301699372,0.0,100.0,10.160869475068415
4000,4125,36.547649530781406,69.10510441566825,0.0,100.0,13.09723280092056
4125,4250,36.98951171588647,99.99999999999999,0.0,36.588178803316325,20.552561255176464
4250,4375,53.28550347179901,100.0,0.0,71.52997346281428,4.695945369312907
4375,4500,59.63150242002679,99.99999999999999,0.0,61.85660651043098,5.650519664622202
4500,4625,53.11015496942997,100.00000000000001,0.0,22.610941617649466,10.775414324662803
4625,4750,41.413551645092504,100.0,0.0,12.768515208725523,12.502167044612136
4750,4875,39.14426582952607,100.0,0.0,11.80279021655122,11.470625392922319
4875,5000,34.55652271728046,99.99999999999999,0.0,15.89566809706482,15.746984998961977
5000,5125,84.60776436873094,53.88150705988829,0.0,100.0,8.364299895008392
5125,5250,83.72364090806262,47.02931751904414,0.0,100.00000000000001,9.594199457061396
5250,5375,79.6209327490967,47.274383554975664,0.0,100.0,9.35878523952822
5375,5500,30.722821381470613,20.85280062354497,0.0,99.99999999999999,5.047011552840714
5500,5625,30.421806960206077,24.88451622447909,0.0,100.0,3.962788313935597
5625,5750,33.36079634879823,27.82073972765013,0.0,100.0,3.377596758526921
5750,5875,26.32845270481128,100.0,0.0,32.870447691121775,9.3396245004244
5875,6000,25.314142425113626,100.0,0.0,21.689881046249884,14.630955411157544
6000,6125,30.398253913297935,100.0,0.0,28.77204369023823,15.652497418581834
6125,6250,35.158154366685565,100.0,0.0,26.56097614654741,10.726797773976699
6250,6375,55.80683822809764,100.00000000000001,0.0,31.55988695326357,10.152573951771029
6375,6500,60.33703057257986,100.0,0.0,33.38350901354792,9.386292700481182
6500,6625,62.55987551493595,44.75207469591601,0.0,100.0,3.6459870543632595
6625,6750,40.72206068074597,16.436770088737674,1.5464417003196553,100.0,0.0
6750,6875,27.834804599638378,4.717659396988494,1.6135107777252735,100.00000000000001,0.0
